Data type;Azimuth [0.360);Dip [0.90];Dip direction;Rake [0.90];Strike direction;Striation trend [0.360);Sense of mouvement;Stylolite Teeth trend [0.360);Stylolite Teeth plunge [0.90]
Extension Fracture;174.1240997;90;;;;;;;
Extension Fracture;174.1238563;90;;;;;;;
Extension Fracture;174.1238563;90;;;;;;;
Extension Fracture;166.4457335;90;;;;;;;
Extension Fracture;166.4457335;90;;;;;;;
Extension Fracture;152.4532378;90;;;;;;;
Extension Fracture;152.4532378;90;;;;;;;
Extension Fracture;152.4532378;90;;;;;;;
Extension Fracture;152.4532378;90;;;;;;;
Extension Fracture;154.2114912;90;;;;;;;
Extension Fracture;154.2114912;90;;;;;;;
Extension Fracture;154.2114912;90;;;;;;;
Extension Fracture;154.2114912;90;;;;;;;
Extension Fracture;152.5207129;90;;;;;;;
Extension Fracture;154.2107666;90;;;;;;;
Extension Fracture;152.5207129;90;;;;;;;
Extension Fracture;154.2107666;90;;;;;;;
Extension Fracture;166.7573335;90;;;;;;;
Extension Fracture;166.0633099;90;;;;;;;
Extension Fracture;166.7573335;90;;;;;;;
Extension Fracture;166.0633099;90;;;;;;;
Extension Fracture;161.5512207;90;;;;;;;
Extension Fracture;161.5512207;90;;;;;;;
Extension Fracture;161.5512207;90;;;;;;;
Extension Fracture;161.5512207;90;;;;;;;
Extension Fracture;158.2502998;90;;;;;;;
Extension Fracture;158.2881197;90;;;;;;;
Extension Fracture;158.2502998;90;;;;;;;
Extension Fracture;158.2881197;90;;;;;;;
Extension Fracture;168.9827958;90;;;;;;;
Extension Fracture;166.8848744;90;;;;;;;
Extension Fracture;168.9827958;90;;;;;;;
Extension Fracture;168.2061344;90;;;;;;;
Extension Fracture;166.8848744;90;;;;;;;
Extension Fracture;168.2061344;90;;;;;;;
Extension Fracture;162.4858272;90;;;;;;;
Extension Fracture;162.4858272;90;;;;;;;
Extension Fracture;159.5426367;90;;;;;;;
Extension Fracture;159.5426367;90;;;;;;;
Extension Fracture;162.65546;90;;;;;;;
Extension Fracture;162.65546;90;;;;;;;
Extension Fracture;168.5027361;90;;;;;;;
Extension Fracture;168.4636151;90;;;;;;;
Extension Fracture;168.5027361;90;;;;;;;
Extension Fracture;168.4636151;90;;;;;;;
